ISO_2,ISO_3,Arabic_Short,Arabic_Official
AD,AND,إمارة أندورا,أندورا
AE,ARE,الإمارات العربية المتحدة,الإمارات
AF,AFG,جمهورية أفغانستان الإسلامية,أفغانستان
AG,ATG,أنتيغوا وبربودا,أنتيغوا وبربودا
AI,AIA,أنغويلا (المملكة المتحدة),أنغويلا
AL,ALB,جمهورية ألبانيا,ألبانيا
AM,ARM,جمهورية أرمينيا,أرمينيا
AO,AGO,جمهورية أنغولا,أنغولا
AQ,ATA,القارة القطبية الجنوبية,القارة القطبية الجنوبية
AR,ARG,جمهورية الأرجنتين,الأرجنتين
AS,ASM,ساموا الأمريكية (الولايات المتحدة),ساموا الأمريكية
AT,AUT,جمهورية النمسا,النمسا
AU,AUS,كومنولث أستراليا,أستراليا
AW,ABW,أروبا (هولندا),أروبا
AX,ALA,جزر أولاند (فنلندا),جزر أولاند
AZ,AZE,الجمهورية الأذربيجانية,أذربيجان
BA,BIH,البوسنة والهرسك,البوسنة والهرسك
BB,BRB,باربادوس,باربادوس
BD,BGD,جمهورية بنغلاديش الشعبية,بنغلاديش
BE,BEL,مملكة بلجيكا,بلجيكا
BF,BFA,جمهورية بوركينا فاسو,بوركينا فاسو
BG,BGR,جمهورية بلغاريا,بلغاريا
BH,BHR,مملكة البحرين,البحرين
BI,BDI,جمهورية بوروندي,بوروندي
BJ,BEN,جمهورية بنن,بنن
BL,BLM,سان بارتيلمي (فرنسا),سان بارتيلمي
BM,BMU,برمودا (المملكة المتحدة),برمودا
BN,BRN,بروني دار السلام,بروني
BO,BOL,دولة بوليفيا المتعددة القوميات,بوليفيا
BQ,BES,الجزر الكاريبية الهولندية (هولندا),الجزر الكاريبية الهولندية
BR,BRA,الجمهورية الاتحادية البرازيلية,البرازيل
BS,BHS,كومنولث البهاما,باهاماس
BT,BTN,مملكة بوتان,بوتان
BV,BVT,جزيرة بوفيه (النرويج),جزيرة بوفيه
BW,BWA,جمهورية بوتسوانا,بوتسوانا
BY,BLR,جمهورية بيلاروس,بيلاروس
BZ,BLZ,بليز,بليز
CA,CAN,كندا,كندا
CC,CCK,جزر كوكوس (أستراليا),جزر كوكوس
CD,COD,جمهورية الكونغو الديمقراطية,جمهورية الكونغو الديمقراطية
CF,CAF,جمهورية أفريقيا الوسطى,جمهورية أفريقيا الوسطى
CG,COG,جمهورية الكونغو,الكونغو
CH,CHE,الاتحاد السويسري,سويسرا
CI,CIV,جمهورية كوت ديفوار,كوت ديفوار
CK,COK,جزر كوك (نيوزيلندا),جزر كوك
CL,CHL,جمهورية شيلي,شيلي
CM,CMR,جمهورية الكاميرون,الكاميرون
CN,CHN,جمهورية الصين الشعبية,الصين
